artist_name,similar_artist_name,rank,0,1
Agujetas Chico,Manuel Parrilla,1.0,,
Agujetas Chico,Los Moneo,2.0,,
Agujetas Chico,Momo de Jerez,3.0,,
Agujetas Chico,jesús méndez,4.0,,
Agujetas Chico,"Periquín ""Niño Jero""",5.0,,
Alazan,La Húngara,1.0,,
Alazan,Selena Leo,2.0,,
Alazan,Raya Real,3.0,,
Alazan,Dani Mata,4.0,,
Alazan,Decai,5.0,,
Andres Fernandez Amador,Rafa El Tachuela,1.0,,
Andres Fernandez Amador,Dani de Morón,2.0,,
Andres Fernandez Amador,Juan Manuel Cañizares,3.0,,
Andres Fernandez Amador,Moraíto,4.0,,
Andres Fernandez Amador,Pepe Habichuela,5.0,,
Andrés Hernández Pituquete,Moraíto,1.0,,
Andrés Hernández Pituquete,Rafael Riqueni,2.0,,
Andrés Hernández Pituquete,Manolo Sanlucar,3.0,,
Andrés Hernández Pituquete,Juan Manuel Cañizares,4.0,,
Andrés Hernández Pituquete,Son De La Frontera,5.0,,
Angelillo,Gracia de Triana,1.0,,
Angelillo,Rafael Farina,2.0,,
Angelillo,Pepe Pinto,3.0,,
Angelillo,Canalejas de Puerto Real,4.0,,
Angelillo,Tomás Pavón,5.0,,
Antonio Reyes,Diego Del Morao,1.0,,
Antonio Reyes,José del Tomate,2.0,,
Antonio Reyes,El Pele,3.0,,
Antonio Reyes,Moraíto,4.0,,
Antonio Reyes,Daniel Casares,5.0,,
Antoñita Moreno,Gracia de Triana,1.0,,
Antoñita Moreno,Raquel Meller,2.0,,
Antoñita Moreno,Lupita Palomera,3.0,,
Antoñita Moreno,Lolita Sevilla,4.0,,
Antoñita Moreno,Paquita Rico,5.0,,
Antoñita Peñuela,Perlita de Huelva,1.0,,
Antoñita Peñuela,Lolita Sevilla,2.0,,
Antoñita Peñuela,Gracia Montes,3.0,,
Antoñita Peñuela,Juanita Reina,4.0,,
Antoñita Peñuela,Carmen Sevilla,5.0,,
Camarón de la Isla,Paco de Lucía,1.0,,
Camarón de la Isla,Enrique Morente,2.0,,
Camarón de la Isla,Lole Y Manuel,3.0,,
Camarón de la Isla,Manzanita,4.0,,
Camarón de la Isla,Estrella Morente,5.0,,
Camela,Estopa,1.0,,
Camela,Andy & Lucas,2.0,,
Camela,El Arrebato,3.0,,
Camela,Melendi,4.0,,
Camela,El Canto del Loco,5.0,,
Canteca De Macao,El Puchero del Hortelano,1.0,,
Canteca De Macao,La Kinky Beat,2.0,,
Canteca De Macao,G5,3.0,,
Canteca De Macao,D'Callaos,4.0,,
Canteca De Macao,Mártires Del Compás,5.0,,
Carlos Montoya,Paco Peña,1.0,,
Carlos Montoya,Lara & Reyes,2.0,,
Carlos Montoya,Benise,3.0,,
Carlos Montoya,Oscar Lopez,4.0,,
Carlos Montoya,NOVAMENCO,5.0,,
Chano Domínguez,Jorge Pardo,1.0,,
Chano Domínguez,Guillermo McGill,2.0,,
Chano Domínguez,Javier Colina,3.0,,
Chano Domínguez,Diego Amador,4.0,,
Chano Domínguez,Martirio,5.0,,
Cherokee,Kartell,1.0,,
Cherokee,Jean Tonique,2.0,,
Cherokee,Louis La Roche,3.0,,
Cherokee,Folamour,4.0,,
Cherokee,The Phantom's Revenge,5.0,,
David DeMaría,Diego Martín,1.0,,
David DeMaría,Merche,2.0,,
David DeMaría,David Bustamante,3.0,,
David DeMaría,David Civera,4.0,,
David DeMaría,Kiko & Shara,5.0,,
Diego Castellon,Encarnación Marín La Sallago,1.0,,
Diego Castellon,Juan Pena,2.0,,
Diego Castellon,Enrique el Piculabe,3.0,,
Diego Castellon,Dorantes,4.0,,
Diego Castellon,Stéphane Grappelli;Django Reinhardt,5.0,,
Diego Del Morao,Moraíto,1.0,,
Diego Del Morao,Antonio Rey,2.0,,
Diego Del Morao,Pedro Sierra,3.0,,
Diego Del Morao,Dani de Morón,4.0,,
Diego Del Morao,Daniel Casares,5.0,,
El Loreño,niño del mellizo,1.0,,
El Loreño,pepe huelva,2.0,,
El Loreño,Chiquito de Osuna,3.0,,
El Loreño,Juan de la Villa,4.0,,
El Loreño,La Paquera de Jerez,5.0,,
Electro Rumbaiao,Uproot Andy,1.0,,
Electro Rumbaiao,Skip & Die,2.0,,
Electro Rumbaiao,History of Colour,3.0,,
Encarna Anillo,Miguel Poveda,1.0,,
Encarna Anillo,Marina Heredia,2.0,,
Encarna Anillo,Mayte Martín,3.0,,
Encarna Anillo,Carmen Linares,4.0,,
Encarna Anillo,David Lagos,5.0,,
Enrique Heredia Negri,Antonio Carmona,1.0,,
Enrique Heredia Negri,La Barbería del Sur,2.0,,
Enrique Heredia Negri,Miguel Poveda,3.0,,
Enrique Heredia Negri,Israel Fernández,4.0,,
Enrique Heredia Negri,Alba Molina,5.0,,
Enrique Morente,Lole Y Manuel,1.0,,
Enrique Morente,Camarón de la Isla,2.0,,
Enrique Morente,Estrella Morente,3.0,,
Enrique Morente,Pata Negra,4.0,,
Enrique Morente,Manzanita,5.0,,
Esteban De Sanlucar,Niño Ricardo,1.0,,
Esteban De Sanlucar,Mario Escudero,2.0,,
Esteban De Sanlucar,Luis Maravilla,3.0,,
Esteban De Sanlucar,Ramón Montoya,4.0,,
Esteban De Sanlucar,Pepe De Badajoz,5.0,,
Ezequiel Benítez,Los Moneo,1.0,,
Ezequiel Benítez,El Pele,2.0,,
Ezequiel Benítez,Israel Fernández,3.0,,
Ezequiel Benítez,rancapino chico,4.0,,
Ezequiel Benítez,Manuel Valencia,5.0,,
Gracia Montes,Marifé De Triana,1.0,,
Gracia Montes,Paquita Rico,2.0,,
Gracia Montes,Lolita Sevilla,3.0,,
Gracia Montes,Perlita de Huelva,4.0,,
Gracia Montes,Carmen Sevilla,5.0,,
Grupo Macarena,Vasco Hernandez,1.0,,
Grupo Macarena,La jose,2.0,,
Grupo Macarena,Rafa El Tachuela,3.0,,
Grupo Macarena,Danza Fuego,4.0,,
Grupo Macarena,"Alhama, Los",5.0,,
Hermano Rayo,Angeliyo El Blanco,1.0,,
Hermano Rayo,Moncho Chavea,2.0,,
Hermano Rayo,Canelita,3.0,,
Hossam Ramzy,Issam Houshan,1.0,,
Hossam Ramzy,Turbo Tabla,2.0,,
Hossam Ramzy,Oojami,3.0,,
Hossam Ramzy,Gamal Gommaa,4.0,,
Hossam Ramzy,Dinletir,5.0,,
José Menese,Diego Clavel,1.0,,
José Menese,Tia Anica La Piriñaca,2.0,,
José Menese,Antonio Mairena,3.0,,
José Menese,Juan Talega,4.0,,
José Menese,Vicente Soto Sordera,5.0,,
Jose Merce,Duquende,1.0,,
Jose Merce,Remedios Amaya,2.0,,
Jose Merce,José Mercé,3.0,,
Jose Merce,Miguel Poveda,4.0,,
Jose Merce,Carmen Linares,5.0,,
Juanito Valderrama,Rafael Farina,1.0,,
Juanito Valderrama,Antonio Molina,2.0,,
Juanito Valderrama,Juanita Reina,3.0,,
Juanito Valderrama,Concha Piquer,4.0,,
Juanito Valderrama,Marifé De Triana,5.0,,
Juanito Varea,Antonio Chacón,1.0,,
Juanito Varea,Tomás Pavón,2.0,,
Juanito Varea,Canalejas de Puerto Real,3.0,,
Juanito Varea,Rafael Romero,4.0,,
Juanito Varea,Manuel Vallejo,5.0,,
Kiko Veneno,Pata Negra,1.0,,
Kiko Veneno,Ketama,2.0,,
Kiko Veneno,Los Delinqüentes,3.0,,
Kiko Veneno,Manolo García,4.0,,
Kiko Veneno,Estopa,5.0,,
La Moraima,Rafa El Tachuela,1.0,,
La Niña De La Puebla,Niña de la Puebla,1.0,,
La Niña De La Puebla,Tomás Pavón,2.0,,
La Niña De La Puebla,Pepe Marchena,3.0,,
La Niña De La Puebla,Manuel Vallejo,4.0,,
La Niña De La Puebla,Canalejas de Puerto Real,5.0,,
Larumbé,Karamala,1.0,,
Larumbé,LOS FLA&CO,2.0,,
Larumbé,Los Impagos,3.0,,
Larumbé,Pantanito,4.0,,
Larumbé,NONAINOISE,5.0,,
Lamari,Marinah,1.0,,
Lamari,Kiki Morente,2.0,,
Lamari,Lucía Espín,3.0,,
Lamari,India Martinez,4.0,,
Lamari,Perlita de Huelva,5.0,,
Luis Maravilla,Pepe Martínez,1.0,,
Luis Maravilla,Antonio Albaicin,2.0,,
Luis Maravilla,Mario Escudero,3.0,,
Luis Maravilla,Melchor de Marchena,4.0,,
Luis Maravilla,Juanito Serrano,5.0,,
Manolo el Malagueño,Pepe Pinto,1.0,,
Manolo el Malagueño,Canalejas de Puerto Real,2.0,,
Manolo el Malagueño,Tomás Pavón,3.0,,
Manolo el Malagueño,Gracia de Triana,4.0,,
Manolo el Malagueño,Angelillo,5.0,,
Manu Tenorio,Carlos Ponce,1.0,,
Manu Tenorio,David Civera,2.0,,
Manu Tenorio,David Bustamante,3.0,,
Manu Tenorio,La Banda Del Capitan Canalla,4.0,,
Manu Tenorio,Merche,5.0,,
Manuel Centeno,Pepita Caballero,1.0,,
Manuel Centeno,Rosalía de Triana,2.0,,
Manuel Centeno,La Piriñaca de Jerez,3.0,,
Manuel Centeno,Aurelio Sellés,4.0,,
Manuel Centeno,Antonio Mairena,5.0,,
Manuel Moreno,Vanilla Ace,1.0,,
Manuel Moreno,Danny Freakazoid,2.0,,
Manuel Moreno,Dualton,3.0,,
Manuel Moreno,Olivier Giacomotto,4.0,,
Manuel Moreno,DJ Marbrax,5.0,,
Manuel Parrilla,Dani de Morón,1.0,,
Manuel Parrilla,Antonio Rey,2.0,,
Manuel Parrilla,josé valencia,3.0,,
Manuel Parrilla,Jeromo Segura,4.0,,
Manuel Parrilla,Moraíto,5.0,,
Manuel Valencia,Los Moneo,1.0,,
Manuel Valencia,Fernando Terremoto,2.0,,
Manuel Valencia,David Lagos,3.0,,
Manuel Valencia,Miguel Poveda,4.0,,
Manuel Valencia,Fernando De La Morena,5.0,,
Mario Escudero,Luis Maravilla,1.0,,
Mario Escudero,Antonio Albaicin,2.0,,
Mario Escudero,Pepe Martínez,3.0,,
Mario Escudero,Melchor de Marchena,4.0,,
Mario Escudero,Niño Ricardo,5.0,,
Montse Cortés,La Susi,1.0,,
Montse Cortés,La Tana,2.0,,
Montse Cortés,Potito,3.0,,
Montse Cortés,Marina Heredia,4.0,,
Montse Cortés,Ginesa Ortega,5.0,,
Niña De Antequera,Rafael Farina,1.0,,
Niña De Antequera,Curro de Utrera,2.0,,
Niña De Antequera,Manuel Vallejo,3.0,,
Niña De Antequera,Pepe Pinto,4.0,,
Niña De Antequera,La Niña De La Puebla,5.0,,
Niño de Marchena,Pepe Marchena,1.0,,
Niño de Marchena,Manuel Vallejo,2.0,,
Niño de Marchena,His Spanish Guitar,3.0,,
Niño de Marchena,Pepe Pinto,4.0,,
Niño de Marchena,Juanito Valderrama,5.0,,
Niño Ricardo,Melchor de Marchena,1.0,,
Niño Ricardo,Ramón Montoya,2.0,,
Niño Ricardo,Luis Maravilla,3.0,,
Niño Ricardo,Pepe Martínez,4.0,,
Niño Ricardo,Mario Escudero,5.0,,
Orquesta,BrainStorm Operations,1.0,,
Orquesta,Fabio Anile,2.0,,
Orquesta,Mister Lies & Different Sleep,3.0,,
Orquesta,The Meditone Project,4.0,,
Orquesta,Banda Sonora,5.0,,
Oscar Guzmán,Santiago Lara,1.0,,
Oscar Guzmán,Pedro Sierra,2.0,,
Oscar Guzmán,Diego Del Morao,3.0,,
Oscar Guzmán,Carlos Piñana,4.0,,
Oscar Guzmán,Amós Lora,5.0,,
Pablo Carcamo,Hudson Swan,1.0,,
Pablo Carcamo,Sebastian Solis,2.0,,
Pablo Carcamo,Paul Espinoza,3.0,,
Pablo Carcamo,Florie Brown,4.0,,
Pablo Carcamo,Andras Farkas Jr. Ensemble,5.0,,
Paco Del Gastor,Paco Cepero,1.0,,
Paco Del Gastor,Niño Ricardo,2.0,,
Paco Del Gastor,Paco Peña,3.0,,
Paco Del Gastor,Juan Martín,4.0,,
Paco Del Gastor,Antonio Rey,5.0,,
Paco Serrano,Adolfo Rodrigo,1.0,,
Paco Serrano,Daniel Barrera,2.0,,
Paco Serrano,Manny Olivera,3.0,,
Paco Serrano,Chico García,4.0,,
Paco Serrano,Adolfo Serrano,5.0,,
Paco Toronjo,Tomás Pavón,1.0,,
Paco Toronjo,Chano Lobato,2.0,,
Paco Toronjo,Antonio Mairena,3.0,,
Paco Toronjo,El Chocolate,4.0,,
Paco Toronjo,Pepe Pinto,5.0,,
Paco de Lucía,Vicente Amigo,1.0,,
Paco de Lucía,Tomatito,2.0,,
Paco de Lucía,Camarón de la Isla,3.0,,
Paco de Lucía,Sabicas,4.0,,
Paco de Lucía,Al Di Meola,5.0,,
Pastora Soler,Vanesa Martín,1.0,,
Pastora Soler,Malú,2.0,,
Pastora Soler,Ruth Lorenzo,3.0,,
